TraceDepth,NumBounces,RunTimeMS_SC,RunTimeMS_NoSC
0,0,7.36,7.58
1,1,12.14,10.64
2,1.28081,17.9,11.96
3,1.32611,22.34,14.08
4,2.06472,24.5,15.7
5,2.15868,25.86,16.78
6,2.17549,26.56,17.22
7,2.17946,26.86,17.64
8,2.18033,26.76,17.94
9,2.1809,26.76,18.28
10,2.18104,27.18,18.72
11,2.18089,27.16,19.04
12,2.18087,27.14,19.28
13,2.18094,27.5,19.84
14,2.1809,27.98,20.08
15,2.18098,28,20.36
16,2.18089,28.06,20.86
17,2.18103,28.1,21.34
18,2.18084,28.14,21.5
19,2.18128,28.28,21.76
20,2.18118,28.08,21.94
21,2.18106,28.06,22.18
22,2.18085,27.72,22.36
23,2.18111,27.4,22.4
24,2.18117,27.38,22.6
25,2.18108,28.06,22.72
26,2.18113,28.14,22.84
27,2.18119,28.12,23.1
28,2.18117,27.6,23.22
29,2.18121,27.46,23.24
30,2.18101,27.58,23.42
31,2.18088,27.62,23.54
32,2.18126,27.46,23.82
33,2.18096,27.42,23.88
34,2.1811,27.58,23.96
35,2.18092,27.4,24.16
36,2.18086,27.54,24.26
37,2.1809,27.72,24.56
38,2.18073,27.66,24.84
39,2.18097,27.44,25.1
40,2.18106,27.36,25.18
41,2.18091,27.54,25.34
42,2.1809,28.02,25.5
43,2.18084,28.04,25.5
44,2.18098,27.78,25.74
45,2.18094,27.56,25.84
46,2.1806,27.34,25.9
47,2.1809,27.26,26.22
48,2.18074,27.7,26.38
49,2.18086,28.08,26.52
50,2.18098,28.04,26.52
51,2.18086,27.86,26.64
52,2.18069,27.14,26.82
53,2.18097,27.08,26.9
54,2.18067,27.28,27.02
55,2.18072,27.08,27.16
56,2.18127,27.58,27.28
57,2.18092,27.92,27.5
58,2.18105,28,27.62
59,2.1807,28.1,27.78
60,2.18121,28.1,27.9
61,2.1812,27.92,27.96
62,2.18108,27.82,28.26
63,2.18108,27.4,28.36
64,2.18087,27.26,28.4
65,2.18099,27.3,28.74
66,2.18104,27.3,29.02
67,2.18305,27.32,28.86
68,2.18714,27.24,29.06
69,2.19181,27.18,29.16
70,2.19718,27.34,29.3
71,2.20455,27.52,29.08
72,2.21301,28.3,29.04
73,2.22175,28.64,28.84
74,2.23145,28.68,28.76
75,2.24148,28.92,28.62
76,2.25168,29.06,28.56
77,2.26233,29.18,28.52
78,2.27141,28.62,28.46
79,2.28005,28.46,28.32
80,2.28835,28.54,28.2
81,2.29525,28.58,28.12
82,2.30314,28.56,28.06
83,2.31066,28.86,28.08
84,2.31793,28.8,28.1
85,2.32615,29.12,28.1
86,2.3333,29.98,28.32
87,2.33837,29.5,28.2
88,2.34223,29.64,28.36
89,2.34576,29.06,28.54
90,2.34993,28.86,28.6
91,2.35379,29.02,28.66
92,2.35808,28.94,28.84
93,2.36281,29.1,28.94
94,2.36782,28.96,29.06
95,2.37296,29.22,29.1
96,2.37777,29.46,29.36
97,2.38291,29.98,29.58
98,2.38839,30.16,29.58
99,2.39361,30.12,29.74
