TraceDepth,NumBounces,RunTimeMS_SC,RunTimeMS_NoSC
0,0,7.28,7.64
1,1,11.96,10.36
2,1.28055,17.84,11.96
3,1.32635,21.96,13.8
4,2.06486,24.16,15.8
5,2.15891,25.24,16.64
6,2.17568,25.76,16.96
7,2.1795,25.68,17.48
8,2.18016,26.84,18.28
9,2.18078,27.12,18.48
10,2.18094,26.92,18.44
11,2.18091,27,19.2
12,2.18082,27.36,19.52
13,2.18063,27,19.48
14,2.18109,27.16,20.08
15,2.18131,27.32,20.32
16,2.18131,27.04,20.32
17,2.18096,27.28,21.04
18,2.18094,27.48,21.56
19,2.18105,27.28,21.84
20,2.18097,27.32,22.08
21,2.18115,27.52,22.16
22,2.18079,27.52,22.32
23,2.18099,27.36,22.56
24,2.18113,27.48,22.68
25,2.18062,27.24,22.76
26,2.18092,27.52,23
27,2.18096,27.52,23.12
28,2.18098,27.36,23.28
29,2.18082,27.4,23.4
30,2.18084,27.36,23.44
31,2.18112,27.64,23.52
32,2.18104,27.56,23.6
33,2.18075,27.44,23.72
34,2.18105,27.84,23.92
35,2.18101,27.08,23.92
36,2.1809,27.76,24.2
37,2.18078,27.8,24.32
38,2.18148,27.64,24.48
39,2.18108,27.8,24.6
40,2.18128,27.32,24.84
41,2.18108,27.84,25.08
42,2.18098,28.08,25.44
43,2.18114,28.2,25.44
44,2.18067,27.92,25.6
45,2.18103,27.96,25.88
46,2.18098,27.6,25.84
47,2.18125,27.28,26.16
48,2.18111,27.4,26.36
49,2.18123,27.28,26.52
50,2.18101,28.36,26.6
51,2.18116,27.44,26.84
52,2.18101,27.2,26.68
53,2.18125,27.32,26.92
54,2.18117,27.72,27.08
55,2.18122,27.72,-1.63018e+009
56,6475.94,2139.69,1.89306e+008
57,-1.75987e+022,-3.98669e+037,27.52
58,-0.315393,-4.06447e+023,-3155.74
59,3.18853e+032,3.18853e+032,3.18853e+032
60,2.18082,27.36,27.72
61,2.18121,27.32,28
62,2.18096,27.16,28.16
63,2.1808,27.44,28.36
64,2.18138,27.2,28.36
65,2.18113,27.36,28.48
66,2.18094,27.24,28.76
67,2.18097,27.16,28.8
68,2.18094,27.4,29
69,2.18126,27.16,29.08
70,2.18076,26.96,29.08
71,2.18108,27.32,29.36
72,2.18102,27.16,29.52
73,2.18069,26.96,29.68
74,2.18086,27.12,29.68
75,2.18094,27.12,30
76,2.18076,27.52,30.08
77,2.1807,27.48,30.64
78,2.18108,26.96,30.4
79,2.18086,26.76,30.44
80,2.18104,28,31.4
81,2.18109,27.72,31.28
82,2.18082,28.04,31.76
83,2.181,27.92,31.64
84,2.18079,28.08,31.8
85,2.181,28.52,31.92
86,2.1809,28.12,32.12
87,2.18079,28.12,31.8
88,2.18119,27.96,32.04
89,2.18077,28.2,32.2
90,2.18095,27.76,32.36
91,2.18093,28.04,32.48
92,2.18048,28.04,32.48
93,2.18073,27.84,32.76
94,2.18103,27.84,32.92
95,2.18077,27.4,33.08
96,2.18079,27.28,33.12
97,2.1807,27.36,33.32
98,2.18071,27.28,33.32
99,2.181,28.04,33.52
