TraceDepth,NumBounces,RunTimeMS_SC,RunTimeMS_NoSC
0,0,8.06,8.14
1,1,13.34,11.7
2,1.99996,23.1,15.58
3,2.98821,34.36,20.7
4,3.85157,44.9,26.48
5,4.60391,54.32,32.74
6,5.23753,62.96,38.68
7,5.77403,70.14,44.54
8,6.22316,76.42,50.12
9,6.59761,82.18,55.94
10,6.91098,86.72,61.66
11,7.1704,90.84,67.32
12,7.38608,94.68,72.8
13,7.56067,97.52,77.76
14,7.70196,99.28,82.8
15,7.81185,101.62,87.72
16,7.89672,102.62,92.94
17,7.95923,104.98,97.84
18,8.00739,105.14,102.44
19,8.04305,107.96,107.1
20,8.06818,108.64,111.42
21,8.08859,109.56,115.78
22,8.10551,110.48,120.06
23,8.11761,110.7,124.32
24,8.1259,110.9,128.44
25,8.13407,110.3,132.54
26,8.14076,110.7,136.28
27,8.14535,111.32,140.38
28,8.15271,112.18,144.02
29,8.15587,112.96,147.64
30,8.15932,112.38,151.04
31,8.16367,113.68,154.42
32,8.1664,115.34,157.38
33,8.17001,115.7,160.2
34,8.17266,115.78,162.94
35,8.17457,116.42,165.42
36,8.17759,115.44,167.9
37,8.17821,116.1,170.12
38,8.18143,116.62,172.36
39,8.1839,117.06,174.6
40,8.18461,116.58,176.22
41,8.18612,117.76,178.28
42,8.18622,117.42,179.6
43,8.18769,117.68,181.24
44,8.19151,118.02,182.64
45,8.19184,118.24,184
46,8.19222,118.08,185.3
47,8.19453,118.14,186.5
48,8.19536,118.46,187.68
49,8.195,119.42,188.6
50,8.19726,119.08,189.8
51,8.19798,119.92,190.88
52,8.19866,120.32,191.68
53,8.19621,120.36,192.44
54,8.19884,120.6,193.42
55,8.19969,120.76,194.22
56,8.20084,119.52,194.76
57,8.20104,119.88,195.46
58,8.20175,120.88,196.34
59,8.20291,121.98,196.88
60,8.20411,121,197.48
61,8.20436,120.94,198.24
62,8.20367,120.92,198.68
63,8.20591,121.9,199.2
64,8.20681,122.34,199.9
65,8.20705,125.1,200.3
66,8.20735,122.96,200.66
67,8.20465,122.42,200.34
68,8.19841,122.76,198.96
69,8.20858,122.72,197.96
70,8.21462,122.56,196.98
71,8.22134,123.06,196.18
72,8.22451,122.88,195.32
73,8.22412,122.64,194.32
74,8.22128,124.74,193.4
75,8.21947,124.98,192.4
76,8.219,127.58,191.48
77,8.21435,127.22,190.86
78,8.219,127.98,190.02
79,8.22195,128.08,189.54
80,8.22713,128.1,188.6
81,8.23446,128.2,187.92
82,8.24302,128.96,187.38
83,8.25452,127.2,187.06
84,8.26632,125.28,186.36
85,8.27877,126.92,186.28
86,8.28638,128.24,185.5
87,8.29384,126.7,185.06
88,8.30232,125.76,184.6
89,8.30866,126.66,184.42
90,8.3186,127.38,183.62
91,8.32787,131.24,183.06
92,8.33679,128.54,182.66
93,8.34497,129.04,182.32
94,8.35505,130.36,181.74
95,8.36379,130.36,181.42
96,8.36947,131.02,180.68
97,8.37711,129.7,180.46
98,8.38411,128.32,180.04
99,8.39038,129.02,179.64
