TraceDepth,NumBounces,RunTimeMS_SC,RunTimeMS_NoSC
0,0,216.6,15.7302
1,1,224.2,20.136
2,1.99996,235.6,25.1443
3,2.98822,246.2,29.1411
4,3.85164,45.2,34.9508
5,4.60405,54.8,40.954
6,5.23865,63.4,46.7587
7,5.77352,70.8,52.9654
8,6.22251,76.8,58.7691
9,6.59756,82.4,64.1715
10,6.91047,87.2003,69.9721
11,7.17222,91.4,75.7727
12,7.38887,94.8,81.178
13,7.5643,98.2,85.7716
14,7.6992,-1.#QNAN,91.1825
15,7.81429,102.4,96.1785
16,7.89908,104.2,100.987
17,7.9623,105.8,105.987
18,8.0074,106.8,110.789
19,8.042,107.6,115.186
20,8.07451,108.8,119.79
21,8.09091,109.4,123.991
22,8.10624,110.8,128.789
23,8.12001,111.2,132.791
24,15.7302,3.15656e+033,2.11877e+011
25,20.136,3.15656e+033,153.429
26,25.1443,4.40667e+032,2.39773e+011
27,29.1411,4.40667e+032,840873
28,34.9508,4.37878e+032,2.23637e+011
29,40.954,3.04237e+032,5.27631e+007
30,46.7587,115.4,3554.83
31,52.9654,115.6,3.46084e+009
32,58.7691,116.2,2.09687e+011
33,64.1715,116.8,168.205
34,69.9721,116.4,170.996
35,75.7727,116.8,173.999
36,81.178,1.01977e+012,176.202
37,85.7716,117.056,178.603
38,91.1825,2.42143e+014,181.198
39,96.1785,3.29346e+009,182.804
40,100.987,1.7456e+031,184.602
41,105.987,7.21492e+022,186.208
42,110.789,2.00636e+017,188.201
43,115.186,118.6,189.606
44,119.79,118.2,190.804
45,123.991,117.8,192.601
46,128.789,119.2,193.412
47,132.791,118.6,195.008
48,2.11877e+011,1.13075e+024,196.207
49,153.429,15311.2,197.008
50,2.39773e+011,1.81768e+031,197.81
51,840873,2.09713e+017,199.203
52,2.23637e+011,1.13075e+024,199.609
53,5.27631e+007,120.2,200.612
54,3554.83,6.97763e+022,201.606
55,3.46084e+009,1.36401e+034,202.21
56,2.09687e+011,120.2,203.215
57,168.205,121,203.809
58,170.996,122,204.815
59,173.999,122.6,205.413
60,176.202,120.6,205.011
61,178.603,121,206.809
62,181.198,121.2,207.215
63,182.804,121.2,207.61
64,184.602,122.8,208.011
65,186.208,122.4,208.412
66,188.201,120.8,208.814
67,189.606,123.4,209.218
68,190.804,123.6,210.012
69,192.601,123.6,209.816
70,193.412,122.8,210.411
71,195.008,122.6,211.212
72,196.207,1.01977e+012,2.11877e+011
73,197.008,124.256,13480.6
74,197.81,2.42143e+014,212.468
75,199.203,3.29346e+009,1.51339e+013
76,199.609,1.7456e+031,1.92046e+031
77,200.612,7.21492e+022,1.15701e+027
78,201.606,2.00636e+017,205.8
79,202.21,125.4,7.58799e+031
80,203.215,126.8,206.2
81,203.809,125.6,207.2
82,204.815,126.4,206.8
83,205.413,126.2,206.8
84,205.011,126.8,2.11877e+011
85,206.809,127.4,13476.4
86,207.215,129,208.248
87,207.61,129.4,1.51339e+013
88,208.011,130.2,1.92046e+031
89,208.412,130.6,1.15701e+027
90,208.814,131.8,208.6
91,209.218,130.4,7.58799e+031
92,210.012,132,209.4
93,209.816,131,209.6
94,210.411,131.4,209.4
95,211.212,131.4,210.2
96,2.11877e+011,130.4,216.6
97,13480.6,132,224.2
98,212.468,132.8,235.6
99,1.51339e+013,133.4,246.2
